#DA_ID	Random_Taxon	Shortest_Taxon	Longest_Taxon
da00023	up_Q87SD0_Q87SD0_VIBPA	pfam21_Q9SHF9_Q9SHF9_ARATH	up_Q6ZD10_Q6ZD10_ORYSJ
da00024	up_Q3IJB8_Q3IJB8_PSEHT	up_Q3IJB8_Q3IJB8_PSEHT	up_Q489Q0_Q489Q0_COLP3
da00025	up_Q2RJK8_Q2RJK8_MOOTA	up_Q9AJ88_Q9AJ88_PSEFL	up_Q5KBM8_Q5KBM8_CRYNE
da00026	up_Q92452_GOX_TALFL	up_Q1PDK5_Q1PDK5_ARATH	pfam21_Q5K7Y0_Q5K7Y0_CRYNE
da00027	up_Q5P3K0_ALR_AZOSE	up_Q9F9L1_ALR_PISSA	up_Q6WRY3_Q6WRY3_ENTFA
da00028	pfam21_Q2ZBS9_Q2ZBS9_9GAMM	up_Q2B301_Q2B301_9BACI	up_Q2LSA5_Q2LSA5_SYNAS
da00029	up_P49250_AMO_KLEAE	up_P49250_AMO_KLEAE	up_P46883_AMO_ECOLI
da00030	up_Q3TX27_Q3TX27_MOUSE	up_Q3S2W3_Q3S2W3_MYTED	up_Q3UQZ7_Q3UQZ7_MOUSE
da00031	up_Q3KKI7_Q3KKI7_CHLTA	pfam21_Q2WP10_Q2WP10_CLOBE	up_Q2IQU5_Q2IQU5_ANADE
da00032	up_Q1PAE4_Q1PAE4_BACCE	up_Q1PAE4_Q1PAE4_BACCE	up_P19828_ANGR_VIBAN
da00033	up_Q9GYQ4_Q9GYQ4_CAEEL	pfam21_Q8JZQ6_Q8JZQ6_MOUSE	up_Q7JQ32_Q7JQ32_DROME
da00034	up_Q3TAY1_Q3TAY1_MOUSE	up_Q3TDB1_Q3TDB1_MOUSE	up_P28039_AOAH_HUMAN
da00035	up_Q2LXV6_Q2LXV6_SYNAS	up_Q747Z2_Q747Z2_GEOSL	pfam21_Q9YFI0_Q9YFI0_AERPE
da00036	pfam21_Q4H964_Q4H964_9DEIO	up_Q97UN0_Q97UN0_SULSO	pfam21_Q3F8L3_Q3F8L3_9BURK
da00037	up_Q25101_Q25101_HERMO	up_Q9XT70_Q9XT70_RABIT	up_P08519_APOA_HUMAN
da00038	up_Q9ZP22_Q9ZP22_BRAJU	up_Q56X39_Q56X39_ARATH	up_Q6Z4A7_Q6Z4A7_ORYSJ
da00039	up_Q4WCZ1_Q4WCZ1_ASPFU	up_Q2H541_Q2H541_CHAGB	up_Q5KFC3_Q5KFC3_CRYNE
da00040	up_Q1V6G1_Q1V6G1_VIBAL	up_Q99PX5_Q99PX5_CAMJE	pfam21_Q410L2_Q410L2_KINRA
da00041	up_Q9Z6M4_ARODE_CHLPN	up_Q9Z6M4_ARODE_CHLPN	up_Q5ZCU7_Q5ZCU7_ORYSJ
da00042	pfam21_Q3NZS0_Q3NZS0_9GAMM	up_Q2BRJ5_Q2BRJ5_9GAMM	up_Q3E9P2_Q3E9P2_ARATH
da00043	up_Q12659_ARO1_PNECA	up_Q2GP00_Q2GP00_CHAGB	up_Q4P8F6_Q4P8F6_USTMA
da00044	up_Q67JN9_Q67JN9_SYMTH	up_Q8ZW59_AROD_PYRAE	up_Q7MVY5_Q7MVY5_PORGI
da00045	up_Q99TC7_Q99TC7_STAAM	up_Q4EEZ6_Q4EEZ6_LISMO	pfam21_Q4HA81_Q4HA81_9DEIO
da00046	up_Q4MPF9_Q4MPF9_BACCE	up_Q4XG14_Q4XG14_PLACH	up_Q72WL6_Q72WL6_DESVH
da00047	up_O02723_O02723_SHEEP	up_P20140_PEP2_THUTO	up_Q8MY58_Q8MY58_BRUMA
da00048	up_Q9PTM0_Q9PTM0_XENLA	up_Q9PTM0_Q9PTM0_XENLA	pfam21_Q7S7K6_Q7S7K6_NEUCR
da00052	up_Q9EUC7_Q9EUC7_9PSED	up_Q38PN6_Q38PN6_9SPHN	up_Q9AQM5_Q9AQM5_PSERE
da00053	pfam21_Q6BZP3_Q6BZP3_YARLI	pfam21_Q6BZP3_Q6BZP3_YARLI	up_P39960_BEM2_YEAST
da00054	up_Q45155_Q45155_BACFR	up_Q2BXE7_Q2BXE7_9GAMM	up_O52973_O52973_BACCI
da00055	up_Q9P8F4_Q9P8F4_ASPNG	pfam21_Q3NAF3_Q3NAF3_9PROT	up_Q2S7C6_Q2S7C6_HAHCH
da00056	up_Q8D4J2_Q8D4J2_VIBVU	up_P16084_BGLS_BUTFI	up_P15885_BGLS_RUMAL
da00057	up_Q9SZM0_Q9SZM0_ARATH	up_Q3U2F2_Q3U2F2_MOUSE	up_Q4Q2U3_Q4Q2U3_LEIMA
da00058	up_Q9F2I0_Q9F2I0_STAHA	up_Q6UB83_Q6UB83_STAAU	up_Q5WWP8_Q5WWP8_LEGPL
da00059	up_Q3B2B0_Q3B2B0_PELLD	up_Q49VR7_Q49VR7_STAS1	up_Q8NJJ5_Q8NJJ5_BLUGR
da00060	up_Q93JW2_Q93JW2_PSEPU	up_Q2PQW6_Q2PQW6_9NOCA	up_Q2VLC5_Q2VLC5_BURCE
da00061	up_Q5G5T8_Q5G5T8_XENLA	up_Q5XP03_Q5XP03_9ACTO	up_Q5EE48_Q5EE48_XENLA
da00062	up_Q4LET3_Q4LET3_9LILI	up_Q5Z6H2_Q5Z6H2_ORYSJ	pfam21_Q7XA36_Q7XA36_SOLBU
da00063	up_Q45720_Q45720_BACTU	up_Q56GD4_Q56GD4_BACTU	up_Q765X7_Q765X7_9BACL
da00064	up_Q4SB49_Q4SB49_TETNG	up_Q7ZT70_Q7ZT70_LAMJA	up_Q9PVY3_Q9PVY3_CYPCA
da00065	up_Q5ZI76_Q5ZI76_CHICK	up_Q8BXX7_Q8BXX7_MOUSE	up_Q4S6Y9_Q4S6Y9_TETNG
da00066	up_Q2HZG8_Q2HZG8_BACTU	up_Q45743_CR2AC_BACTU	up_P57092_C18CA_PAEPP
da00067	up_Q45712_CR5BA_BACTU	up_P56956_C21AA_BACTU	up_Q45760_CR5AA_BACUD
da00068	up_Q2SUV4_Q2SUV4_BURTA	up_Q5W550_Q5W550_9MUSC	up_Q5FU42_Q5FU42_GLUOX
da00069	up_P48442_CASR_RAT	pfam21_Q5SY22_Q5SY22_HUMAN	pfam21_Q9V4U4_Q9V4U4_DROME
da00070	up_Q3KDT6_Q3KDT6_PSEPF	up_Q8VRK0_Q8VRK0_9BURK	up_Q8FN44_Q8FN44_COREF
da00071	pfam21_Q1TLH7_Q1TLH7_9MYCO	pfam21_Q9U6L8_Q9U6L8_DICDI	pfam21_Q2X4U9_Q2X4U9_9GAMM
da00072	up_Q55ZE8_Q55ZE8_CRYNE	up_Q65D55_Q65D55_BACLD	up_Q2Y8V3_Q2Y8V3_NITMU
da00073	up_Q6XPZ9_Q6XPZ9_FUNHE	up_Q27HX3_Q27HX3_PSEMX	up_Q93VC9_Q93VC9_ARATH
da00074	up_Q60HG6_CATC_MACFA	up_Q28H13_Q28H13_XENTR	up_Q7RDQ6_Q7RDQ6_PLAYO
da00075	pfam21_Q4B7E3_Q4B7E3_BURVI	up_Q3Y9J2_Q3Y9J2_9COXI	up_Q8ILZ3_Q8ILZ3_PLAF7
da00076	up_Q3M5I1_Q3M5I1_ANAVT	up_Q5H4T9_Q5H4T9_XANOR	up_Q5EI65_Q5EI65_DANRE
da00077	up_Q4PEE7_Q4PEE7_USTMA	up_P26674_STE6_SCHPO	up_P04821_CDC25_YEAST
da00078	pfam21_Q86B63_Q86B63_DROME	up_Q2U2D2_Q2U2D2_ASPOR	up_Q54XL4_Q54XL4_DICDI
da00079	up_O18324_O18324_BLAGE	up_O18324_O18324_BLAGE	up_Q4WSZ4_Q4WSZ4_ASPFU
da00080	up_O73697_O73697_TAKRU	up_O70369_O70369_RAT	up_Q24270_CAC1D_DROME
da00081	pfam21_Q6PG86_Q6PG86_MOUSE	up_Q8MJQ3_Q8MJQ3_AOTVO	up_O88488_PTPRQ_RAT
da00082	up_Q45095_Q45095_BACCI	up_P43478_CGKA_ALTCA	up_Q45095_Q45095_BACCI
da00083	pfam21_Q7S9P2_Q7S9P2_NEUCR	pfam21_Q1VM84_Q1VM84_9FLAO	up_Q9VGH7_CLCN2_DROME
da00084	up_Q03721_KCNC4_HUMAN	up_Q9XSQ0_Q9XSQ0_RABIT	up_P17970_KCNAB_DROME
da00085	up_Q90W36_Q90W36_COLLI	up_Q9PWM8_Q9PWM8_CHICK	up_Q8JG57_Q8JG57_XENLA
da00086	up_Q41461_Q41461_SOLTU	pfam21_Q7PW88_Q7PW88_ANOGA	up_Q24IL3_Q24IL3_TETTH
da00087	up_Q2UQI7_Q2UQI7_ASPOR	pfam21_Q2D4S6_Q2D4S6_9FIRM	up_Q7TVV6_LEU1_MYCBO
da00088	up_Q59H93_Q59H93_HUMAN	up_Q59H93_Q59H93_HUMAN	up_Q25150_Q25150_HALRO
da00089	up_Q2EZ58_Q2EZ58_DANRE	up_Q800U3_Q800U3_ICTPU	up_Q23FG9_Q23FG9_TETTH
da00090	pfam21_Q5VYU2_Q5VYU2_HUMAN	up_Q8CJG2_Q8CJG2_MOUSE	up_Q9JK45_KCNQ5_MOUSE
da00091	up_Q27I49_Q27I49_PIG	pfam21_Q3UT51_Q3UT51_MOUSE	up_Q2PBA4_Q2PBA4_ENACY
da00092	pfam21_P01029_CO4_MOUSE	up_Q4S019_Q4S019_TETNG	up_Q4SVH8_Q4SVH8_TETNG
da00093	up_Q69DL1_Q69DL1_PIG	up_Q5I040_Q5I040_XENLA	up_P12247_CO3_RABIT
da00094	up_Q9FEH8_Q9FEH8_BRANA	up_Q2H8D2_Q2H8D2_CHAGB	up_Q9U755_Q9U755_TOXGO
da00095	up_Q7MXH5_Q7MXH5_PORGI	up_O29534_CBIH_ARCFU	up_Q8KFE0_Q8KFE0_CHLTE
da00096	up_Q20WY3_Q20WY3_RHOPB	up_Q5DFP3_Q5DFP3_SCHJA	up_Q22PA6_Q22PA6_TETTH
da00097	up_Q31QP3_Q31QP3_SYNE7	up_Q71IZ8_Q71IZ8_LACDL	up_Q5CSW2_Q5CSW2_CRYPV
da00098	up_P67637_XERD_MYCBO	up_Q8GGX2_Q8GGX2_KLEPN	pfam21_Q3X5N0_Q3X5N0_9ACTN
da00099	pfam21_Q427H4_Q427H4_DESHA	up_Q82VX6_Q82VX6_NITEU	up_Q484B4_Q484B4_COLP3
da00100	up_Q91293_CPSM_RANCA	up_Q91293_CPSM_RANCA	up_Q4Z6R4_Q4Z6R4_PLABE
da00101	pfam21_Q379A0_Q379A0_RHOPA	pfam21_Q2D5P9_Q2D5P9_9FIRM	pfam21_Q4J5A7_Q4J5A7_AZOVI
da00102	up_O01655_O01655_HALRO	up_Q4SHD4_Q4SHD4_TETNG	up_O01655_O01655_HALRO
da00103	pfam21_Q1T4T9_Q1T4T9_MEDTR	up_Q6WQ22_Q6WQ22_SHEEP	up_Q8I0W8_Q8I0W8_PLAF7
da00104	up_Q499N7_Q499N7_RAT	up_Q5ZM15_Q5ZM15_CHICK	up_P29349_CSW_DROME
da00105	up_Q5FWY6_Q5FWY6_RAT	up_Q94B58_Q94B58_ARATH	up_Q22KD9_Q22KD9_TETTH
da00106	up_Q24S73_Q24S73_DESHY	pfam21_Q62PR0_Q62PR0_BACLD	pfam21_Q41VZ0_Q41VZ0_DESHA
da00107	up_Q8CX69_Q8CX69_OCEIH	up_Q2B737_Q2B737_9BACI	up_Q7MVK9_Q7MVK9_PORGI
da00108	up_Q01341_ADCY6_MOUSE	up_Q6S9C2_Q6S9C2_XENLA	up_P32870_CYA1_DROME
da00109	up_Q73X69_Q73X69_MYCPA	up_Q4BYX5_Q4BYX5_CROWT	up_Q8EXW3_Q8EXW3_LEPIN
da00110	up_Q9UUQ9_Q9UUQ9_METAN	up_Q9UUQ9_Q9UUQ9_METAN	up_Q01631_CYAA_NEUCR
da00111	up_Q4PLE9_Q4PLE9_GIBIN	up_Q4PLE9_Q4PLE9_GIBIN	pfam21_P49606_CYAA_USTMA
da00112	up_Q8YVF7_Q8YVF7_ANASP	up_Q8DRI2_Q8DRI2_STRR6	up_O54354_O54354_ANASP
da00113	pfam21_Q3XPL5_Q3XPL5_9PROT	up_Q2LSB8_Q2LSB8_SYNAS	pfam21_Q3XPL5_Q3XPL5_9PROT
da00114	pfam21_Q555V4_Q555V4_DICDI	pfam21_Q03101_CYAG_DICDI	pfam21_Q03101_CYAG_DICDI
da00115	up_Q2J0U9_Q2J0U9_RHOP2	up_Q2VZT2_Q2VZT2_MAGSA	up_Q21FW1_Q21FW1_SACD2
da00116	up_Q6DNF7_GCY32_CAEEL	up_Q59HN5_Q59HN5_GRYBI	pfam21_Q60M10_Q60M10_CAEBR
da00117	up_Q7T041_Q7T041_ORYCU	up_Q59HN6_Q59HN6_GRYBI	up_O77105_O77105_MANSE
da00118	pfam21_Q8BLL8_Q8BLL8_MOUSE	up_Q3S321_Q3S321_ONCMY	up_Q8WSM2_Q8WSM2_SCHMA
da00119	up_Q96HS5_Q96HS5_HUMAN	up_Q8CFI1_Q8CFI1_MOUSE	up_Q4PIB4_Q4PIB4_USTMA
da00120	up_Q9SAM9_Q9SAM9_ARATH	up_Q9SAM9_Q9SAM9_ARATH	up_Q9XF79_Q9XF79_SANAU
da00121	up_Q2L9C1_Q2L9C1_HUMAN	up_Q8W4B6_Q8W4B6_ARATH	up_Q4SZ82_Q4SZ82_TETNG
da00122	pfam21_Q2DR05_Q2DR05_9DELT	up_O97222_O97222_PLAFA	up_Q4E5Z1_Q4E5Z1_TRYCR
da00123	pfam21_Q1UW50_Q1UW50_9MYCO	up_Q8KKW0_Q8KKW0_RHIEC	up_Q89T32_Q89T32_BRAJA
da00124	up_Q1V3R2_Q1V3R2_VIBAL	pfam21_Q2CNH7_Q2CNH7_9EURY	pfam21_Q43E28_Q43E28_9CHLB
da00125	pfam21_Q1S103_Q1S103_MEDTR	pfam21_Q1S103_Q1S103_MEDTR	up_Q9NR30_DDX21_HUMAN
da00126	up_Q6G7M7_DDL_STAAS	up_P96761_P96761_ENTCA	pfam21_Q3C6F6_Q3C6F6_9CLOT
da00127	up_Q4T4A4_Q4T4A4_TETNG	up_Q4T4A4_Q4T4A4_TETNG	up_Q869Z1_Q869Z1_DICDI
da00128	up_Q9CLU3_Q9CLU3_PASMU	up_Q5LDP0_Q5LDP0_BACFN	pfam21_Q35B29_Q35B29_9BRAD
da00129	up_Q1LKM7_Q1LKM7_RALME	up_Q8GBY0_Q8GBY0_9BACL	up_Q5B1Z4_Q5B1Z4_EMENI
da00130	up_Q7CP66_TYPH_SALTY	up_P47717_TYPH_MYCPI	pfam21_Q1TCZ1_Q1TCZ1_9MYCO
da00131	pfam21_Q33UM2_Q33UM2_9GAMM	pfam21_Q1VHX3_Q1VHX3_9FLAO	pfam21_Q411F3_Q411F3_KINRA
da00132	pfam21_Q2AV63_Q2AV63_9BACI	pfam21_Q5DK16_Q5DK16_VIBAN	up_Q21F76_Q21F76_SACD2
da00134	up_Q886U6_Q886U6_PSESM	up_Q1YNX3_Q1YNX3_9GAMM	pfam21_Q7CYX5_Q7CYX5_AGRT5
da00135	up_Q7A5T6_Q7A5T6_STAAN	up_Q4HPM1_Q4HPM1_CAMUP	pfam21_Q3X0G5_Q3X0G5_9ACTN
da00136	up_Q49LL4_Q49LL4_AEDAE	pfam21_Q7XQ14_Q7XQ14_ORYSA	up_Q6TUI4_DICER_BOVIN
da00137	up_Q3K497_Q3K497_PSEPF	up_Q89VZ7_Q89VZ7_BRAJA	pfam21_Q22FP5_Q22FP5_TETTH
da00138	up_Q48806_DLPA_LEGPH	up_Q48806_DLPA_LEGPH	up_Q48806_DLPA_LEGPH
da00139	up_P37383_RAD51_CHICK	up_Q8IYL1_Q8IYL1_HUMAN	up_Q5JET4_RADA_PYRKO
da00140	up_Q1QDW8_DNLJ_PSYCK	up_Q9AKK2_Q9AKK2_RICMO	pfam21_Q5H057_Q5H057_XANOR
da00141	up_Q3IKB8_DNLJ_PSEHT	pfam21_Q3GHU9_Q3GHU9_CHLVI	up_Q8G830_DNLJ_BIFLO
da00142	up_Q1LU20_DNLJ_BAUCH	up_Q6XP54_Q6XP54_9MOLU	up_Q1ZXG5_Q1ZXG5_DICDI
da00143	up_Q8P1Y9_Q8P1Y9_STRP8	up_Q9L881_Q9L881_PSEAE	up_Q7NP07_Q7NP07_GLOVI
da00144	up_O48901_DPOD1_SOYBN	up_Q3CYE5_Q3CYE5_STRAG	pfam21_O60673_DPOLZ_HUMAN
da00145	up_Q6NHJ1_Q6NHJ1_CORDI	pfam21_Q2ACZ4_Q2ACZ4_9FIRM	up_Q72ES3_Q72ES3_DESVH
da00146	up_Q84ND9_Q84ND9_ARATH	pfam21_Q1VJA3_Q1VJA3_9FLAO	up_Q4N8S8_Q4N8S8_THEPA
da00147	up_Q66GG4_Q66GG4_YERPS	pfam21_Q33X19_Q33X19_9GAMM	pfam21_Q8I7W9_Q8I7W9_DICDI
da00148	pfam21_Q4H874_Q4H874_9DEIO	up_P30313_DPO1F_THETH	up_P52027_DPO1_DEIRA
da00149	pfam21_Q4IBI7_Q4IBI7_GIBZE	up_Q45U05_Q45U05_YEAST	up_Q4SMZ1_Q4SMZ1_TETNG
da00150	up_Q95NT2_Q95NT2_TRYCR	up_Q8MVZ6_Q8MVZ6_9EUGL	up_O02604_DRTS_PLAVI
da00152	pfam21_Q26WD7_Q26WD7_XANP2	up_Q93N57_Q93N57_COXBU	pfam21_Q2ZH11_Q2ZH11_CALSA
da00154	up_Q4Z4R4_Q4Z4R4_PLABE	up_Q703W4_Q703W4_THETE	pfam21_Q2APD6_Q2APD6_9BACI
da00155	pfam21_Q33SR1_Q33SR1_9GAMM	up_Q3D230_Q3D230_STRAG	up_Q8T062_Q8T062_DROME
da00156	up_Q21HH3_EFTS_SACD2	pfam21_Q2Z7A0_Q2Z7A0_9GAMM	pfam21_Q22ZZ3_Q22ZZ3_TETTH
da00157	up_Q9Z3Q2_EGLC_RHIME	up_Q9Z3Q2_EGLC_RHIME	up_Q98I38_Q98I38_RHILO
da00158	pfam21_Q6A4N1_Q6A4N1_CAEEL	up_Q84XN3_Q84XN3_GOSBA	pfam21_Q246H8_Q246H8_TETTH
da00159	up_Q08277_HSP82_MAIZE	up_Q5T9W8_Q5T9W8_HUMAN	up_Q4N786_Q4N786_THEPA
da00160	up_Q3Z4K7_Q3Z4K7_SHISS	up_Q93IL7_Q93IL7_9CYAN	up_Q3M3K1_Q3M3K1_ANAVT
da00163	up_P70375_FA7_MOUSE	up_Q5JVE8_Q5JVE8_HUMAN	up_Q1RLV2_Q1RLV2_DANRE
da00164	pfam21_Q4W5C2_Q4W5C2_HUMAN	up_Q6PZ62_Q6PZ62_BOVIN	up_O97506_O97506_PIG
da00165	up_Q545J3_Q545J3_MOUSE	up_Q04962_FA12_CAVPO	up_Q04756_HGFA_HUMAN
da00166	up_Q63RD4_Q63RD4_BURPS	up_Q803S0_Q803S0_DANRE	up_Q3JPA4_Q3JPA4_BURP1
da00168	up_Q5KG99_Q5KG99_CRYNE	up_Q5ANF5_Q5ANF5_CANAL	up_Q755G1_Q755G1_ASHGO
da00170	up_P29251_FOL1_PNECA	up_Q54YD9_FOL1_DICDI	up_Q4P3Z2_Q4P3Z2_USTMA
da00171	up_Q8PBT2_Q8PBT2_XANCP	up_Q2BG74_Q2BG74_9GAMM	pfam21_Q1XJ09_Q1XJ09_CYTJO
da00172	up_Q8BP70_Q8BP70_MOUSE	up_Q86DW5_Q86DW5_SCHJA	up_Q1RLU2_Q1RLU2_DANRE
da00173	pfam21_Q2ATP1_Q2ATP1_9BACI	up_Q5C3D4_Q5C3D4_SCHJA	up_Q4RIU6_Q4RIU6_TETNG
da00174	up_Q2GY98_Q2GY98_CHAGB	up_Q5MD07_Q5MD07_SACOF	up_Q2GY98_Q2GY98_CHAGB
da00175	up_Q6LZW3_Q6LZW3_METMP	up_O27002_FMDC_METTH	up_Q6LZW3_Q6LZW3_METMP
da00176	up_Q4EC64_Q4EC64_9RICK	up_Q92JN0_Q92JN0_RICCN	up_O44030_O44030_TOXGO
da00177	up_Q9F1N2_MURD_SHEVI	up_Q8GE13_Q8GE13_HELMO	pfam21_Q1TI39_Q1TI39_9MYCO
da00178	up_Q6ATH2_Q6ATH2_ORYSJ	up_Q4SCB3_Q4SCB3_TETNG	up_Q4LE76_Q4LE76_HUMAN
da00181	up_Q29KL6_Q29KL6_DROPS	up_P28037_FTHFD_RAT	up_Q9VIC9_Q9VIC9_DROME
da00183	up_Q7CKB5_Q7CKB5_YERPE	pfam21_Q3Q1I1_Q3Q1I1_9GAMM	up_Q8I2N6_Q8I2N6_PLAF7
da00184	up_P30432_FUR2_DROME	up_Q16962_Q16962_APLCA	up_Q04592_PCSK5_MOUSE
da00185	pfam21_Q7QLH1_Q7QLH1_ANOGA	up_Q8JFG9_Q8JFG9_CYPCA	up_Q9BHT9_Q9BHT9_PLABE
da00186	up_Q8THK3_GUAAB_METAC	up_Q64E47_Q64E47_9ARCH	pfam21_Q2CPF0_Q2CPF0_9EURY
da00187	up_Q6HP80_GATB_BACHK	pfam21_Q1VHF2_Q1VHF2_9FLAO	up_Q4P525_Q4P525_USTMA
da00188	up_P40801_GAL10_PACTA	up_Q59VY6_Q59VY6_CANAL	up_Q9HDU3_GAL10_SCHPO
da00189	up_Q9HQ32_GATE_HALSA	up_Q8ZTJ3_GATE_PYRAE	up_Q9Y9T6_GATE_AERPE
da00191	pfam21_Q41RI4_Q41RI4_FERAC	up_Q5C1L7_Q5C1L7_SCHJA	up_Q7S2V0_Q7S2V0_NEUCR
da00192	up_Q9UBS5_GABR1_HUMAN	up_Q1LWN6_Q1LWN6_DANRE	up_Q9Z0U4_GABR1_RAT
da00193	up_Q4SE66_Q4SE66_TETNG	up_Q90WW6_Q90WW6_DANRE	up_Q9BML5_Q9BML5_DROME
da00194	up_Q8KC35_Q8KC35_CHLTE	up_Q3ETR6_Q3ETR6_BACTI	up_Q7V7N2_Q7V7N2_PROMM
da00195	up_Q7UIA9_Q7UIA9_RHOBA	up_Q65W64_Q65W64_MANSM	up_Q8IJF3_Q8IJF3_PLAF7
da00196	up_Q69NA5_Q69NA5_ORYSJ	up_Q76MR3_Q76MR3_TAEGU	up_Q8AXW5_Q8AXW5_9TELE
da00197	up_Q3BAB4_Q3BAB4_RHIET	up_Q70TB5_Q70TB5_9ACTO	pfam21_Q3FJU4_Q3FJU4_9BURK
da00198	up_Q1ZMJ0_Q1ZMJ0_PHOAS	pfam21_Q3QAW4_Q3QAW4_9GAMM	up_Q9ZNZ7_GLTB1_ARATH
da00199	pfam21_Q5T7V4_Q5T7V4_HUMAN	up_Q9BSI0_Q9BSI0_HUMAN	up_Q9U4U5_Q9U4U5_DROME
da00200	up_Q5RD85_Q5RD85_PONAB	up_Q5RD85_Q5RD85_PONAB	up_Q4S205_Q4S205_TETNG
da00201	up_Q65RX0_GSHAB_MANSM	up_Q3DPW1_Q3DPW1_STRAG	pfam21_Q2WMX1_Q2WMX1_CLOBE
da00202	up_Q8IJR9_Q8IJR9_PLAF7	up_Q83ID3_GUAA_TROW8	pfam21_Q7Q0V2_Q7Q0V2_ANOGA
da00203	pfam21_Q4CJR4_Q4CJR4_CLOTM	pfam21_P29716_GUB_CLOTM	pfam21_P29716_GUB_CLOTM
da00204	up_Q05156_GUN1_STRRE	up_Q6DTY2_Q6DTY2_CLOCL	up_Q6TF33_Q6TF33_RUMAL
da00205	up_Q47R05_Q47R05_THEFY	up_P26222_GUN2_THEFU	up_Q9PDW2_Q9PDW2_XYLFA
da00206	up_Q8RR29_Q8RR29_9FIRM	up_Q6SYB5_Q6SYB5_BACLI	up_Q9RPL0_Q9RPL0_9FIRM
da00207	up_P26221_GUN4_THEFU	up_P26221_GUN4_THEFU	up_P26225_GUNB_CELFI
da00208	pfam21_Q2ZH59_Q2ZH59_CALSA	up_P96311_P96311_ANATH	pfam21_Q2ZH59_Q2ZH59_CALSA
da00209	up_Q47SA9_Q47SA9_THEFY	up_P07984_GUNA_CELFI	up_Q21IE7_Q21IE7_SACD2
da00211	up_Q9C1S9_GUX6_HUMIN	up_Q6EH22_Q6EH22_NEOFR	up_Q6EIY8_Q6EIY8_NEOFR
da00212	up_Q21NA7_Q21NA7_SACD2	up_Q9AJS0_Q9AJS0_ALIAC	up_P77864_P77864_FIBSS
da00214	pfam21_P04954_GUND_CLOTM	pfam21_P04954_GUND_CLOTM	pfam21_P04954_GUND_CLOTM
da00215	pfam21_Q4CFV8_Q4CFV8_CLOTM	up_P10477_GUNE_CLOTM	up_P10477_GUNE_CLOTM
