#number_residues	query_file
356	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q67JN9_Q67JN9_SYMTH.fa
356	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6G7M7_DDL_STAAS.fa
362	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q32EQ8_Q32EQ8_SHIDS.fa
364	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2NFN7_Q2NFN7_METST.fa
367	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9AKJ4_Q9AKJ4_RICRI.fa
368	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8YSC7_Q8YSC7_ANASP.fa
371	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8YES4_Q8YES4_BRUME.fa
377	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q1TB54_Q1TB54_9MYCO.fa
377	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7T1J1_Q7T1J1_CHAAC.fa
379	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8ELX9_Q8ELX9_OCEIH.fa
380	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5KXK4_Q5KXK4_GEOKA.fa
381	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2SUV4_Q2SUV4_BURTA.fa
382	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q4BSM5_Q4BSM5_BURVI.fa
387	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q33UM2_Q33UM2_9GAMM.fa
392	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q29A22_Q29A22_DROPS.fa
392	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8RK20_Q8RK20_PSEPU.fa
396	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8KWU3_Q8KWU3_LACSK.fa
402	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1PAE4_Q1PAE4_BACCE.fa
405	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q4APA8_Q4APA8_9CHLB.fa
407	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8K040_Q8K040_MOUSE.fa
410	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q4BEV9_Q4BEV9_BURVI.fa
413	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2RJK8_Q2RJK8_MOOTA.fa
413	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4Z4R4_Q4Z4R4_PLABE.fa
420	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4T910_Q4T910_TETNG.fa
422	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4E749_Q4E749_9RICK.fa
423	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8F2D7_Q8F2D7_LEPIN.fa
423	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9KWX8_Q9KWX8_STAAU.fa
426	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q50PU3_Q50PU3_ENTHI.fa
426	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7A5T6_Q7A5T6_STAAN.fa
427	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q35QU1_Q35QU1_9BRAD.fa
427	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4EC64_Q4EC64_9RICK.fa
427	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8KC35_Q8KC35_CHLTE.fa
427	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8U0Z6_Q8U0Z6_PYRFU.fa
428	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_O67379_O67379_AQUAE.fa
434	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q886U6_Q886U6_PSESM.fa
435	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q8K733_Q8K733_STRP3.fa
435	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_O68641_O68641_CELCE.fa
435	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q63RD4_Q63RD4_BURPS.fa
437	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q31GX6_Q31GX6_THICR.fa
438	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2DR05_Q2DR05_9DELT.fa
439	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q3NZS0_Q3NZS0_9GAMM.fa
440	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7CP66_TYPH_SALTY.fa
447	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5M3V5_Q5M3V5_STRT2.fa
449	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2XGW1_Q2XGW1_PSEPU.fa
449	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q74MN5_Q74MN5_NANEQ.fa
449	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9F1N2_MURD_SHEVI.fa
450	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q97E85_Q97E85_CLOAB.fa
452	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_O93775_O93775_HALSA.fa
457	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1PK48_Q1PK48_PROMA.fa
461	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2WUD6_Q2WUD6_CLOBE.fa
461	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3M5I1_Q3M5I1_ANAVT.fa
461	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5F326_Q5F326_CHICK.fa
465	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q6A4N1_Q6A4N1_CAEEL.fa
466	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3K497_Q3K497_PSEPF.fa
466	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8VYB2_Q8VYB2_ARATH.fa
467	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_O49514_O49514_ARATH.fa
467	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2H719_Q2H719_CHAGB.fa
468	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7MXH5_Q7MXH5_PORGI.fa
469	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2DXF2_Q2DXF2_ACICE.fa
470	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q792Q3_Q792Q3_MOUSE.fa
471	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q7QLH1_Q7QLH1_ANOGA.fa
474	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8U025_Q8U025_PYRFU.fa
475	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6HP80_GATB_BACHK.fa
476	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5E2L7_HLDE_VIBF1.fa
477	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2ZTD6_Q2ZTD6_SHEPU.fa
477	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9Z6M4_ARODE_CHLPN.fa
481	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9ZFY2_Q9ZFY2_9DEIN.fa
484	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2XA71_Q2XA71_PSEPU.fa
484	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6MIQ9_Q6MIQ9_BDEBA.fa
486	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2K578_Q2K578_RHIEC.fa
487	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7U5S8_Q7U5S8_SYNPX.fa
488	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q1X4C5_Q1X4C5_9FIRM.fa
489	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q65JD0_Q65JD0_BACLD.fa
490	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_O27541_O27541_METTH.fa
492	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q10884_Q10884_MYCTU.fa
493	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q65WK8_ILVC_MANSM.fa
496	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7SXT5_Q7SXT5_DANRE.fa
499	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q3G1N8_Q3G1N8_9DELT.fa
499	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q4B7E3_Q4B7E3_BURVI.fa
499	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q82MC8_Q82MC8_STRAW.fa
501	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1LKM7_Q1LKM7_RALME.fa
502	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3JG50_Q3JG50_BURP1.fa
504	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2L227_Q2L227_BORA1.fa
507	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q31FB8_Q31FB8_THICR.fa
508	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q4B4K0_Q4B4K0_9BURK.fa
509	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1PKA2_Q1PKA2_PROMA.fa
511	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4FS76_Q4FS76_PSYA2.fa
516	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8P1Y9_Q8P1Y9_STRP8.fa
518	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2DA32_Q2DA32_ACICY.fa
518	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q3E4Z0_Q3E4Z0_CHLAU.fa
520	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q39TR9_Q39TR9_GEOMG.fa
521	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1YR66_Q1YR66_9GAMM.fa
521	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7NXQ9_Q7NXQ9_CHRVO.fa
521	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q89J62_Q89J62_BRAJA.fa
524	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2ATP1_Q2ATP1_9BACI.fa
524	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1QZ55_Q1QZ55_CHRSD.fa
526	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1ZJZ0_Q1ZJZ0_PHOAS.fa
527	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6XYC3_Q6XYC3_HUMAN.fa
527	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q89SW2_Q89SW2_BRAJA.fa
529	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_O22229_O22229_ARATH.fa
533	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q35BE1_Q35BE1_9BRAD.fa
533	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6L158_Q6L158_PICTO.fa
533	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8X0Y8_Q8X0Y8_METAN.fa
534	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2L9C1_Q2L9C1_HUMAN.fa
539	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q1X556_Q1X556_9FIRM.fa
544	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3SM86_Q3SM86_THIDA.fa
544	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q73X69_Q73X69_MYCPA.fa
545	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q26XD4_Q26XD4_XANP2.fa
547	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3BQ87_Q3BQ87_XANC5.fa
547	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7CKB5_Q7CKB5_YERPE.fa
548	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2TUM7_Q2TUM7_9SPER.fa
549	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6V695_Q6V695_DROSI.fa
550	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q43081_Q43081_PINSY.fa
550	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6WZA4_Q6WZA4_STRVI.fa
550	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q93GZ1_Q93GZ1_STRAW.fa
551	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q3QAK9_Q3QAK9_9GAMM.fa
551	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q51C08_Q51C08_ENTHI.fa
551	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2W2T1_Q2W2T1_MAGSA.fa
555	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8IJR9_Q8IJR9_PLAF7.fa
556	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3KFD1_Q3KFD1_PSEPF.fa
558	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q31QP3_Q31QP3_SYNE7.fa
559	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3B624_Q3B624_PELLD.fa
563	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q47LA8_Q47LA8_THEFY.fa
566	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q379A0_Q379A0_RHOPA.fa
567	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2WVX8_Q2WVX8_CLOBE.fa
569	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q3C7C3_Q3C7C3_9CLOT.fa
571	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2PYR2_Q2PYR2_UMBRA.fa
572	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8DMV6_URE1_THEEB.fa
574	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q41PP5_Q41PP5_METBU.fa
577	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5LZ94_Q5LZ94_STRT1.fa
578	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q72BR5_Q72BR5_DESVH.fa
582	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2ADF8_Q2ADF8_9FIRM.fa
583	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8R837_Q8R837_THETN.fa
584	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q4CD59_Q4CD59_CLOTM.fa
585	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9HNT7_Q9HNT7_HALSA.fa
587	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1M6S5_Q1M6S5_RHIL3.fa
588	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1LDM0_Q1LDM0_RALME.fa
589	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8NQK1_Q8NQK1_CORGL.fa
592	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1L116_Q1L116_9MOLU.fa
592	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4MPF9_Q4MPF9_BACCE.fa
592	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7TUN9_Q7TUN9_PROMM.fa
593	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q3XPL5_Q3XPL5_9PROT.fa
594	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1V3R2_Q1V3R2_VIBAL.fa
594	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7UIA9_Q7UIA9_RHOBA.fa
594	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7VRU2_DNLJ_BLOFL.fa
595	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q1YQ41_Q1YQ41_9GAMM.fa
595	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8ZW38_Q8ZW38_PYRAE.fa
600	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q1T4T9_Q1T4T9_MEDTR.fa
600	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q55CT0_TPP1_DICDI.fa
602	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q35EW8_Q35EW8_9BRAD.fa
602	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_P15922_PEHX_ERWCH.fa
604	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q6SGF7_Q6SGF7_9BACT.fa
605	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q92452_GOX_TALFL.fa
607	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q89KX9_Q89KX9_BRAJA.fa
610	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q23Z89_Q23Z89_TETTH.fa
610	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q9CLU3_Q9CLU3_PASMU.fa
615	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3B2B0_Q3B2B0_PELLD.fa
615	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3B3F2_Q3B3F2_PELLD.fa
616	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3M2Y5_Q3M2Y5_ANAVT.fa
617	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q41RI4_Q41RI4_FERAC.fa
619	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5KNA0_Q5KNA0_CRYNE.fa
622	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q45155_Q45155_BACFR.fa
627	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q2AJQ0_Q2AJQ0_9BACI.fa
627	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3M5S2_Q3M5S2_ANAVT.fa
627	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q7DC81_Q7DC81_PSEAE.fa
631	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q241B3_Q241B3_TETTH.fa
636	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/pfam21_Q3HHU5_Q3HHU5_TRIER.fa
641	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q89HL9_Q89HL9_BRAJA.fa
644	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q2UQI7_Q2UQI7_ASPOR.fa
644	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q46C21_Q46C21_METBF.fa
646	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5P7V0_Q5P7V0_AZOSE.fa
646	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q64D97_Q64D97_9ARCH.fa
649	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q8W1C1_Q8W1C1_BRAJU.fa
650	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q3TX27_Q3TX27_MOUSE.fa
652	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q30QV9_DNLJ_SULDN.fa
657	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q4C8I9_Q4C8I9_CROWT.fa
657	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q5F3F8_Q5F3F8_CHICK.fa
658	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q940A2_P2C31_ARATH.fa
662	/panfs/pan1/iglobal/dbs/multiDomainBenchmark/queries-multiDomain/up_Q819X3_Q819X3_BACCR.fa
