#GI	Number_of_domains	Repeated_domain?	Embedded_domain(s)?
up_P13536_ACHG_BOVIN	2	0	0
up_P02713_ACHG_CHICK	2	0	0
pfam21_P07510_ACHG_HUMAN	2	0	0
up_P04760_ACHG_MOUSE	2	0	0
up_P18916_ACHG_RAT	2	0	0
up_P02714_ACHG_TORCA	2	0	0
up_P05376_ACHG_XENLA	2	0	0
up_P19370_ACHB2_CARAU	2	0	0
up_P09484_ACHB2_CHICK	2	0	0
up_P17787_ACHB2_HUMAN	2	0	0
pfam21_P12390_ACHB2_RAT	2	0	0
up_P13908_ACHN2_CARAU	2	0	0
up_P43679_ACHB3_CHICK	2	0	0
up_Q05901_ACHB3_HUMAN	2	0	0
up_P12391_ACHB3_RAT	2	0	0
up_P18257_ACHN3_CARAU	2	0	0
up_P26153_ACHB4_CHICK	2	0	0
pfam21_P30926_ACHB4_HUMAN	2	0	0
up_P12392_ACHB4_RAT	2	0	0
up_Q9GZZ6_ACH10_HUMAN	2	0	0
up_P54247_ACHX_ONCVO	2	0	0
pfam21_P25516_ACON1_ECOLI	2	0	0
up_Q9ZL64_ACON2_HELPJ	2	0	0
up_P56418_ACON2_HELPY	2	0	0
up_P74582_ACON2_SYNY3	2	0	0
up_Q42560_ACO1_ARATH	2	0	0
up_O31550_ACOC_BACSU	3	0	0
up_Q23500_ACOC_CAEEL	2	0	0
up_P49608_ACOC_CUCMA	2	0	0
up_Q42669_ACOC_CUCMC	2	0	0
up_Q59695_ACOC_PSEPU	2	0	0
up_O04916_ACOC_SOLTU	2	0	0
pfam21_P09339_ACON_BACSU	2	0	0
pfam21_P20004_ACON_BOVIN	2	0	0
up_P70920_ACON_BRAJA	2	0	0
up_P34455_ACON_CAEEL	2	0	0
up_P49609_ACON_GRAVE	2	0	0
pfam21_Q99798_ACON_HUMAN	2	0	0
up_P37032_ACON_LEGPH	2	0	0
up_O08451_ACON_MYCAV	2	0	0
up_P16276_ACON_PIG	2	0	0
up_Q92G90_ACON_RICCN	2	0	0
up_Q9ZCF4_ACON_RICPR	2	0	0
up_O13966_ACON_SCHPO	2	0	0
up_Q59938_ACON_STRMU	2	0	0
up_P19414_ACON_YEAST	2	0	0
up_P39533_ACON2_YEAST	2	0	0
up_P36184_ACP1_ENTHI	2	0	0
up_P36185_ACP2_ENTHI	2	0	0
pfam21_P00785_ACTN_ACTCH	2	0	0
up_P25464_ACVS_CEPAC	10	1	0
pfam21_P27742_ACVS_EMENI	10	1	0
up_P27743_ACVS_NOCLA	10	1	0
up_P19787_ACVS1_PENCH	10	1	0
up_P26046_ACVS2_PENCH	10	1	0
up_O45218_ADAS_CAEEL	2	0	0
up_P97275_ADAS_CAVPO	2	0	0
pfam21_O96759_ADAS_DICDI	2	0	0
up_Q9V778_ADAS_DROME	2	0	0
up_O00116_ADAS_HUMAN	2	0	0
up_O97157_ADAS_TRYBB	2	0	0
up_O05703_ADCA_STRPN	2	0	0
up_Q9A0L9_ADCA_STRP1	2	0	0
up_P33744_ADHE_CLOAB	2	0	0
up_P48034_ADO_BOVIN	6	0	0
pfam21_Q06278_ADO_HUMAN	6	0	0
up_O54754_ADO_MOUSE	6	0	0
up_P80456_ADO_RABIT	6	0	0
up_Q9Z0U5_ADO_RAT	6	0	0
up_Q03402_CRIS3_MOUSE	2	0	0
up_P12020_CRIS1_RAT	2	0	0
up_P09230_AEP_YARLI	2	0	0
pfam21_Q94125_AGE1_CAEEL	5	0	0
up_P06750_AGGL_RICCO	3	1	0
up_P11218_AGI_URTDI	3	1	0
up_P27875_AGS_AGRRH	2	0	0
up_P46681_DLD2_YEAST	2	0	0
up_P00561_AK1H_ECOLI	5	1	0
pfam21_P00562_AK2H_ECOLI	3	0	0
up_P53553_AK2_BACST	3	1	0
up_P08495_AK2_BACSU	3	1	0
up_P94417_AK3_BACSU	3	1	0
up_P49080_AKH2_MAIZE	5	1	0
up_P57290_AKH_BUCAI	4	0	0
up_P44505_AKH_HAEIN	5	1	0
up_P41398_AK_CORFL	3	1	0
up_Q9ZJZ7_AK_HELPJ	3	1	0
up_O25827_AK_HELPY	3	1	0
up_Q57991_AK_METJA	3	1	0
up_P41403_AK_MYCSM	3	1	0
up_O69077_AK_PSEAE	3	1	0
up_Q00593_ALKJ_PSEOL	2	1	2
up_Q00922_ALOX_CANBO	2	0	0
up_P04841_ALOX_PICAN	2	1	1
up_P29118_ALP_CEPAC	2	0	0
up_Q03420_ALP_TRIAT	2	0	0
up_P58736_ALR1_AGRT5	2	0	0
up_P10725_ALR1_BACSU	2	0	0
up_Q97LR2_ALR1_CLOAB	2	0	0
up_Q8X5V2_ALR1_ECO57	2	0	0
up_Q9HUN4_ALR1_PSEAE	2	0	0
up_Q98A05_ALR1_RHILO	2	0	0
up_O59828_ALR1_SCHPO	2	0	0
up_Q932V0_ALR1_SHIDY	2	0	0
up_Q93HP9_ALR1_SHISO	2	0	0
pfam21_Q9ZAH5_ALR1_STAAU	2	0	0
up_Q8RAK6_ALR1_THETN	2	0	0
up_Q9KUY6_ALR1_VIBCH	2	0	0
up_Q8ZJ10_ALR1_YERPE	2	0	0
up_P58737_ALR2_AGRT5	2	0	0
up_P94494_ALR2_BACSU	2	0	0
up_Q97DY9_ALR2_CLOAB	2	0	0
up_Q8X4I9_ALR2_ECO57	2	0	0
up_P29012_ALR2_ECOLI	2	0	0
up_O30746_ALR2_KLEAE	2	0	0
up_Q9HTQ2_ALR2_PSEAE	2	0	0
up_Q98F05_ALR2_RHILO	2	0	0
pfam21_Q9RAE7_ALR2_RHILV	2	0	0
up_Q8Z688_ALR2_SALTI	2	0	0
up_P06191_ALR2_SALTY	2	0	0
up_Q9P5N3_ALR2_SCHPO	2	0	0
pfam21_Q9EZ08_ALR2_STAAU	2	0	0
up_Q8R860_ALR2_THETN	2	0	0
up_Q9KSE5_ALR2_VIBCH	2	0	0
up_Q8ZFL4_ALR2_YERPE	2	0	0
up_Q981H7_ALR3_RHILO	2	0	0
up_Q8Z300_ALR3_SALTI	2	0	0
up_Q8YU96_ALR_ANASP	2	0	0
up_O67687_ALR_AQUAE	2	0	0
up_Q9RER4_ALR_AQUPY	2	0	0
up_Q9KFF9_ALR_BACHD	2	0	0
up_Q9S5V6_ALR_BACPS	2	0	0
up_P10724_ALR_BACST	2	0	0
up_O51182_ALR_BORBU	2	0	0
up_Q8YD03_ALR_BRUME	2	0	0
up_Q9PP26_ALR_CAMJE	2	0	0
up_Q9F8I0_ALR_CARHZ	2	0	0
up_Q9A7Q9_ALR_CAUCR	2	0	0
up_Q8XM22_ALR_CLOPE	2	0	0
up_Q8RSU9_ALR_CORGL	2	0	0
up_Q9RVE3_ALR_DEIRA	2	0	0
up_Q8RGA2_ALR_FUSNN	2	0	0
up_P45257_ALR_HAEIN	2	0	0
up_Q9ZKQ9_ALR_HELPJ	2	0	0
up_O25595_ALR_HELPY	2	0	0
up_Q9CH94_ALR_LACLA	2	0	0
up_Q9RLU5_ALR_LACLM	2	0	0
up_O08445_ALR_LACPL	2	0	0
up_Q9FCV2_ALR_LACRE	2	0	0
up_Q92DC9_ALR_LISIN	2	0	0
up_O85045_ALR_LISMO	2	0	0
up_Q9L888_ALR_MYCAV	2	0	0
up_P38056_ALR_MYCLE	2	0	0
up_P94967_ALR_MYCSM	2	0	0
up_Q9JTA6_ALR_NEIMA	2	0	0
up_Q9JYC4_ALR_NEIMB	2	0	0
up_Q9CNL5_ALR_PASMU	2	0	0
up_Q9F9L1_ALR_PISSA	2	0	0
up_Q8XZM4_ALR_RALSO	2	0	0
up_Q92R07_ALR_RHIME	2	0	0
up_Q92JD9_ALR_RICCN	2	0	0
up_Q9ZE52_ALR_RICPR	2	0	0
up_O86786_ALR_STRCO	2	0	0
up_Q8NZK4_ALR_STRP8	2	0	0
up_Q99Y98_ALR_STRP1	2	0	0
up_P54918_ALR_SYNY3	2	0	0
up_Q56346_ALR_TREPA	2	0	0
up_Q8PGD0_ALR_XANAC	2	0	0
up_Q8P4R0_ALR_XANCP	2	0	0
up_Q9PF26_ALR_XYLFA	2	0	0
up_P44493_AMIB_HAEIN	3	1	0
up_Q07121_AMO1_ARTS1	3	1	0
up_Q12556_AMO1_ASPNG	3	1	0
up_Q07123_AMO2_ARTS1	3	1	0
pfam21_Q59118_AMOH_ARTGO	3	1	0
up_P46883_AMO_ECOLI	4	1	0
up_P49250_AMO_KLEAE	4	1	0
up_P49252_AMO_LENCU	3	1	0
up_Q43077_AMO_PEA	3	1	0
up_P12807_AMO_PICAN	3	1	0
up_Q9H4A4_AMPB_HUMAN	2	0	0
up_Q8VCT3_AMPB_MOUSE	2	0	0
up_O09175_AMPB_RAT	2	0	0
up_Q9PL68_AMPM_CHLMU	2	0	0
up_Q9Z6Q0_AMPM_CHLPN	2	0	0
up_O84859_AMPM_CHLTR	2	0	0
pfam21_P15034_AMPP_ECOLI	2	0	0
up_P47566_AMPP_MYCGE	2	0	0
up_P75313_AMPP_MYCPN	2	0	0
up_P80884_ANAN_ANACO	2	0	0
up_P19828_ANGR_VIBAN	2	0	0
pfam21_P16066_ANPRA_HUMAN	3	0	0
up_P18293_ANPRA_MOUSE	3	1	2
up_P18910_ANPRA_RAT	3	1	2
up_P55202_ANPRB_ANGJA	3	1	2
up_P20594_ANPRB_HUMAN	3	1	2
up_P16067_ANPRB_RAT	3	1	2
up_P28039_AOAH_HUMAN	2	0	0
up_O75106_AOC2_HUMAN	3	1	0
pfam21_Q16853_AOC3_HUMAN	3	1	0
pfam21_O70423_AOC3_MOUSE	3	1	0
pfam21_O08590_AOC3_RAT	3	1	0
up_Q29437_AOCX_BOVIN	3	1	0
up_O46406_AOCY_BOVIN	3	1	0
up_Q9V035_AOR_PYRAB	2	0	0
up_Q51739_AOR_PYRFU	2	0	0
up_O58778_AOR_PYRHO	2	0	0
up_Q9YDX6_AOX1_AERPE	2	0	0
up_P08519_APOA_HUMAN	39	1	0
up_P92979_APR1_ARATH	2	0	0
up_P92981_APR2_ARATH	2	0	0
up_P92980_APR3_ARATH	2	0	0
up_Q03024_APRD_PSEAE	2	0	0
up_Q03027_APRF_PSEAE	2	1	0
up_P08594_AQL1_THEAQ	2	0	0
up_P54898_ARG56_NEUCR	4	0	0
up_P31318_ARG56_SCHPO	4	0	0
up_P08690_ARSA1_ECOLX	2	1	0
up_P52145_ARSA2_ECOLX	2	1	0
up_O50146_ARGC2_THET2	2	0	0
up_P56961_ARODE_CHLMU	3	0	0
up_Q9Z6M4_ARODE_CHLPN	3	0	0
up_O84375_ARODE_CHLTR	3	0	0
up_P22567_ARGA_PSEAE	2	0	0
up_Q9YBY8_ARGC_AERPE	2	0	0
up_O67724_ARGC_AQUAE	2	0	0
up_Q9K8V2_ARGC_BACHD	2	0	0
up_Q07906_ARGC_BACST	2	0	0
pfam21_P23715_ARGC_BACSU	2	0	0
up_P57156_ARGC_BUCAI	2	0	0
up_Q9PIS0_ARGC_CAMJE	2	0	0
up_Q97GH7_ARGC_CLOAB	2	0	0
up_Q59279_ARGC_CORGL	2	0	0
up_Q9RVQ9_ARGC1_DEIRA	2	0	0
up_Q8X732_ARGC_ECO57	2	0	0
pfam21_P11446_ARGC_ECOLI	2	0	0
up_Q9CHD5_ARGC_LACLA	2	0	0
up_O08318_ARGC2_LACPL	2	0	0
up_Q92BB7_ARGC_LISIN	2	0	0
up_Q8Y6U1_ARGC_LISMO	2	0	0
up_Q8TK53_ARGC_METAC	2	0	0
up_Q58496_ARGC_METJA	2	0	0
up_Q8TWF8_ARGC_METKA	2	0	0
up_Q8PZL6_ARGC_METMA	2	0	0
up_O26934_ARGC_METTH	2	0	0
up_Q9CC15_ARGC_MYCLE	2	0	0
up_O87890_ARGC_NOSEL	2	0	0
up_P57907_ARGC_PASMU	2	0	0
up_Q9I5Q9_ARGC_PSEAE	2	0	0
up_Q9V1I6_ARGC_PYRAB	2	0	0
up_Q8U0B6_ARGC_PYRFU	2	0	0
up_O59397_ARGC_PYRHO	2	0	0
up_Q8Z309_ARGC_SALTI	2	0	0
up_Q8ZKL8_ARGC_SALTY	2	0	0
up_Q8NYM6_ARGC_STAAW	2	0	0
up_P54896_ARGC_STRCL	2	0	0
up_P54895_ARGC_STRCO	2	0	0
up_Q980X1_ARGC_SULSO	2	0	0
up_Q976J5_ARGC_SULTO	2	0	0
up_P54899_ARGC_SYNY3	2	0	0
up_Q9X2A2_ARGC_THEMA	2	0	0
pfam21_Q9Z4S2_ARGC_THENE	2	0	0
up_Q8R7B8_ARGC_THETN	2	0	0
up_Q9KNT6_ARGC_VIBCH	2	0	0
up_Q8ZA86_ARGC_YERPE	2	0	0
pfam21_P07547_ARO1_EMENI	6	0	0
up_Q12659_ARO1_PNECA	6	0	0
up_Q9P7R0_ARO1_SCHPO	6	0	0
up_P08566_ARO1_YEAST	6	0	0
up_Q8ZW59_AROD_PYRAE	2	0	0
up_P39912_AROG_BACSU	2	0	0
up_O50593_ARSA_ACIMU	2	1	0
up_O52027_ARSA_HALSA	2	1	0
pfam21_P49092_ASNS1_LOTJA	2	0	0
pfam21_P49089_ASNS1_YEAST	2	0	0
pfam21_P49093_ASNS2_LOTJA	2	0	0
pfam21_P19252_ASNS2_PEA	2	0	0
up_P54420_ASNB_BACSU	2	0	0
pfam21_P22106_ASNB_ECOLI	2	0	0
pfam21_P42113_ASNH_BACSU	2	0	0
up_Q58516_ASNH1_METJA	2	0	0
up_O05272_ASNO_BACSU	2	0	0
pfam21_P49078_ASNS_ARATH	2	0	0
pfam21_P49091_ASNS_BRAOL	2	0	0
pfam21_P19891_ASNS_CRIGR	2	1	1
pfam21_P08243_ASNS_HUMAN	2	1	1
pfam21_P49094_ASNS_MAIZE	2	0	0
pfam21_P17714_ASNS_MESAU	2	1	1
pfam21_Q61024_ASNS_MOUSE	2	1	1
pfam21_Q43011_ASNS_ORYSA	2	0	0
pfam21_O24338_ASNS_SANAU	2	0	0
pfam21_P78753_ASNS_SCHPO	2	0	0
pfam21_O24661_ASNS_TRIVS	2	0	0
pfam21_Q03168_ASPP_AEDAE	2	0	0
up_Q16937_ASP_ANCCA	2	1	0
up_P40416_ATM1_YEAST	2	0	0
pfam21_Q13315_ATM_HUMAN	3	0	0
up_Q62388_ATM_MOUSE	3	0	0
up_O68006_BACA_BACLI	16	1	0
up_O68007_BACB_BACLI	7	1	0
up_O68008_BACC_BACLI	18	1	0
up_Q07944_BEDC1_PSEPU	2	0	0
up_P39960_BEM2_YEAST	4	0	0
up_P07769_BENA_ACIAD	2	0	0
pfam21_P17444_BETA_ECOLI	2	1	2
up_P54223_BETA_RHIME	2	1	1
up_O33833_BFRA_THEMA	2	0	0
up_P48825_BGL1_ASPAC	2	0	0
up_P22506_BGL1_SACFI	2	0	0
up_P22507_BGL2_SACFI	2	0	0
pfam21_P14002_BGLB_CLOTM	2	0	0
up_P16084_BGLS_BUTFI	2	0	0
up_P06835_BGLS_HANAN	2	0	0
up_P15885_BGLS_RUMAL	2	0	0
pfam21_P33363_BGLX_ECOLI	2	0	0
up_Q46684_BGLX_ERWCH	2	0	0
up_Q56078_BGLX_SALTY	2	0	0
up_O46382_BIG1_BOVIN	2	0	0
pfam21_Q9Y6D6_BIG1_HUMAN	2	0	0
pfam21_Q9Y6D5_BIG2_HUMAN	2	0	0
up_P18357_BLAR_STAAU	2	0	0
up_O18017_BLM_CAEEL	3	0	0
pfam21_P08084_BNZA_PSEPU	2	0	0
up_Q52438_BPHA1_PSES1	2	0	0
pfam21_P37333_BPHA_BURCE	2	0	0
up_Q46372_BPHA_COMTE	2	0	0
up_Q52028_BPHA_PSEPS	2	0	0
pfam21_P51015_BPHI_BURCE	2	0	0
up_P42780_BPRX_DICNO	2	0	0
up_P35694_BRU1_SOYBN	2	0	0
up_P05068_CR1AC_BACTK	3	0	0
up_Q03744_CR1AD_BACTA	3	0	0
up_Q03748_CR1AE_BACTL	3	0	0
up_P96315_CR1AF_BACTU	3	0	0
up_Q9S515_CR1AG_BACTU	3	0	0
up_Q45739_CR1BB_BACTU	3	0	0
up_Q45774_CR1BC_BACTM	3	0	0
up_Q9ZAZ5_CR1BD_BACTZ	3	0	0
up_O85805_CR1BE_BACTU	3	0	0
up_P56953_CR1CB_BACTG	3	0	0
up_P19415_CR1DA_BACTA	3	0	0
up_Q45747_CR1DB_BACTU	3	0	0
up_Q57458_CR1EA_BACTX	3	0	0
up_Q03745_CR1EB_BACTA	3	0	0
up_Q03746_CR1FA_BACTA	3	0	0
up_O66377_CR1FB_BACTM	3	0	0
up_Q45746_CR1GA_BACTU	3	0	0
up_Q9ZAZ6_CR1GB_BACTZ	3	0	0
up_Q45748_CR1HA_BACTU	3	0	0
up_Q45718_CR1HB_BACTM	3	0	0
up_Q45752_CR1IA_BACTK	3	0	0
up_Q45709_CR1IB_BACTE	3	0	0
up_O87404_CR1IC_BACTU	3	0	0
up_Q9XDL1_CR1ID_BACTU	3	0	0
up_Q45738_CR1JA_BACTU	3	0	0
up_Q45716_CR1JB_BACTU	3	0	0
up_Q45715_CR1KA_BACTM	3	0	0
up_P09871_C1S_HUMAN	6	1	0
pfam21_P11586_C1TC_HUMAN	3	0	0
pfam21_P27653_C1TC_RAT	3	0	0
up_P07245_C1TC_YEAST	3	0	0
up_P09440_C1TM_YEAST	3	0	0
up_P21254_CR2AB_BACTK	3	0	0
up_Q45743_CR2AC_BACTU	3	0	0
up_Q9RMG3_CR2AD_BACTU	3	0	0
up_P17969_CR3BA_BACTO	3	0	0
up_Q06117_CR3BB_BACTU	3	0	0
up_Q45744_CR3CA_BACTK	3	0	0
up_P16480_CR4AA_BACTI	3	0	0
up_P05519_CR4BA_BACTI	3	0	0
up_Q45760_CR5AA_BACUD	2	0	0
up_Q45753_CR5AB_BACUD	2	0	0
up_P56955_CR5AC_BACTU	2	0	0
up_Q45712_CR5BA_BACTU	2	0	0
up_Q03749_CR7AA_BACTU	3	0	0
up_Q45707_CR7AB_BACUA	3	0	0
up_Q45708_CR7AB_BACUK	3	0	0
up_Q45704_CR8AA_BACUK	3	0	0
up_Q45705_CR8BA_BACUK	3	0	0
up_Q45706_CR8CA_BACTP	3	0	0
up_Q99031_CR9AA_BACTG	4	1	0
up_Q45733_CR9CA_BACTO	4	1	0
up_O06014_CR9DA_BACTP	4	1	0
up_Q9ZNL9_CR9EA_BACTA	4	1	0
up_P09662_C10AA_BACTI	3	0	0
up_P54212_CAH_DUNSA	2	1	0
up_Q8UDF7_CARA_AGRT5	2	0	0
up_O66727_CARA_AQUAE	2	0	0
up_Q8YIB8_CARA_BRUME	2	0	0
up_P57245_CARA_BUCAI	2	0	0
up_Q97FT2_CARA_CLOAB	2	0	0
up_P58893_CARA_CORGL	2	0	0
up_O19886_CARA_CYACA	2	0	0
up_Q8RSS4_CARA_HALER	2	0	0
up_Q9ZJY9_CARA_HELPJ	2	0	0
up_Q9CF80_CARA_LACLA	2	0	0
up_Q8TNY3_CARA_METAC	2	0	0
up_Q58425_CARA_METJA	2	0	0
up_Q8Q0U4_CARA_METMA	2	0	0
up_Q50983_CARA_NEIGO	2	0	0
up_Q9JVZ6_CARA_NEIMA	2	0	0
up_Q9JXX4_CARA_NEIMB	2	0	0
up_P22572_CARA_NEUCR	2	0	0
up_P38098_CARA_PSEAE	2	0	0
up_P38099_CARA_PSEST	2	0	0
up_Q8ZY49_CARA_PYRAE	2	1	1
up_Q8U086_CARA_PYRFU	2	0	0
up_Q8XZ85_CARA_RALSO	2	0	0
up_Q98IA7_CARA_RHILO	2	0	0
up_Q92N95_CARA_RHIME	2	0	0
up_Q8Z9L8_CARA_SALTI	2	0	0
up_Q9KXR5_CARA_STRCO	2	0	0
up_P58894_CARA_STRP8	2	0	0
up_Q59968_CARA_SULSO	2	0	0
up_Q970U8_CARA_SULTO	2	0	0
up_Q9HK16_CARA_THEAC	2	0	0
up_Q8RBK1_CARA_THETN	2	0	0
up_P87183_CARA_TRIVE	2	0	0
up_P58895_CARA_XANAC	2	0	0
up_P58896_CARA_XANCP	2	0	0
up_O50235_CARA_ZYMMO	2	0	0
pfam21_P36838_CARX_BACSU	2	0	0
up_O08317_CARX_LACPL	2	0	0
up_P35384_CASR_BOVIN	3	0	0
pfam21_P41180_CASR_HUMAN	3	0	0
up_Q9QY96_CASR_MOUSE	3	0	0
up_P48442_CASR_RAT	3	0	0
up_O08404_KATG1_MYCFO	2	1	0
up_P07773_CATA_ACIAD	2	0	0
up_O28050_KATG_ARCFU	2	1	0
up_P78574_CATA_ASPFU	2	0	0
up_P14412_KATG_BACST	2	1	0
pfam21_O31066_CATA_CAUCR	2	1	0
pfam21_P13029_CATA_ECOLI	2	1	0
pfam21_P55305_CATA_EMENI	3	0	0
pfam21_O59651_CATA_HALMA	2	1	0
up_O73955_KATG_HALSA	2	1	0
pfam21_Q9WXB9_CATA_LEGPN	2	1	0
up_P46817_KATG_MYCBO	2	1	0
up_Q04657_KATG_MYCIT	2	1	0
pfam21_Q59557_CATA_MYCSM	2	1	0
up_Q08129_KATG_MYCTU	2	1	0
up_P37743_KATG_RHOCA	2	1	0
up_P95607_CATA_RHOOP	2	0	0
up_P17750_KATG_SALTY	2	1	0
up_Q9X6B0_KATG_YERPE	2	1	0
up_Q92405_CATB_ASPFU	2	0	0
up_P07688_CATB_BOVIN	2	0	0
up_P43233_CATB_CHICK	2	0	0
up_P78619_CATB_EMENI	2	0	0
pfam21_P07858_CATB_HUMAN	2	0	0
up_P10605_CATB_MOUSE	2	0	0
up_P00787_CATB_RAT	2	0	0
up_Q9RJH9_KATG_STRCO	2	1	0
up_O87864_KATG_STRRE	2	1	0
up_O97578_CATC_CANFA	2	0	0
up_P53634_CATC_HUMAN	2	0	0
up_Q26563_CATC_SCHMA	2	1	1
up_P80209_CATD_BOVIN	2	0	0
up_Q05744_CATD_CHICK	2	0	0
up_P07339_CATD_HUMAN	2	0	0
up_P18242_CATD_MOUSE	2	0	0
up_P24268_CATD_RAT	2	0	0
pfam21_P42234_CATE_BACSU	3	0	0
up_P25796_CATE_CAVPO	2	0	0
up_P21179_CATE_ECOLI	2	0	0
up_P14091_CATE_HUMAN	2	0	0
pfam21_P70269_CATE_MOUSE	2	0	0
up_P50979_CATE_MYCAV	3	0	0
up_P95539_CATE_PSEPU	2	0	0
up_P43159_CATE_RABIT	2	0	0
up_P16228_CATE_RAT	2	0	0
up_Q9X576_CATE_RHIME	2	0	0
up_Q9UBX1_CATF_HUMAN	2	0	0
up_Q9R013_CATF_MOUSE	2	0	0
up_P09668_CATH_HUMAN	2	0	0
up_P49935_CATH_MOUSE	2	0	0
up_O46427_CATH_PIG	2	0	0
up_P00786_CATH_RAT	2	0	0
up_Q9R014_CATJ_MOUSE	2	0	0
up_Q63088_CATJ_RAT	2	0	0
up_P55097_CATK_MOUSE	2	0	0
up_Q9GLE3_CATK_PIG	2	0	0
up_P43236_CATK_RABIT	2	0	0
up_P25975_CATL1_BOVIN	2	0	0
pfam21_Q95029_CATL_DROME	2	0	0
up_P07711_CATL1_HUMAN	2	0	0
up_P06797_CATL1_MOUSE	2	0	0
up_Q28944_CATL1_PIG	2	0	0
up_P07154_CATL1_RAT	2	0	0
up_Q26636_CATL_SARPE	2	0	0
up_Q26534_CATL_SCHMA	2	0	0
up_Q9JL96_CATM_MOUSE	2	0	0
up_Q9QZE3_CATQ_RAT	2	0	0
up_P55303_CATR_ASPNG	2	0	0
up_Q9JIA9_CATR_MOUSE	2	0	0
up_P25326_CATS_BOVIN	2	0	0
